month,new_sku_count
2015-12,700
2016-01,2229
2016-02,511
2016-03,478
2016-04,325
2016-05,364
2016-06,331
2016-07,238
2016-08,325
2016-09,203
2016-10,257
2016-11,244
2016-12,248
2017-01,240
2017-02,191
2017-03,213
2017-04,146
2017-05,221
2017-06,270
2017-07,191
2017-08,173
2017-09,228
2017-10,165
2017-11,114
2017-12,154
2018-01,193
2018-02,158
2018-03,132
2018-04,144
2018-05,167
2018-06,125
2018-07,141
2018-08,146
2018-09,154
2018-10,144
2018-11,135
2018-12,85
2019-01,98
2019-02,267
2019-03,144
2019-04,112
2019-05,92
2019-06,148
2019-07,206
2019-08,168
2019-09,117
2019-10,166
2019-11,124
2019-12,75
2020-01,126
2020-02,82
2020-03,66
2020-04,67
2020-05,67
2020-06,67
2020-07,52
2020-08,66
2020-09,63
2020-10,60
2020-11,85
2020-12,53
2021-01,82
2021-02,90
2021-03,81
2021-04,73
2021-05,100
2021-06,56
2021-07,115
2021-08,146
2021-09,100
2021-10,69
2021-11,65
2021-12,135
2022-01,95
2022-02,100
2022-03,191
2022-04,48
2022-05,210
2022-06,101
2022-07,128
2022-08,80
2022-09,111
2022-10,108
2022-11,86
2022-12,79
2023-01,135
2023-02,154
2023-03,130
2023-04,91
2023-05,153
2023-06,83
2023-07,84
2023-08,104
2023-09,98
2023-10,113
2023-11,128
2023-12,134
2024-01,118
2024-02,102
2024-03,106
2024-04,94
2024-05,149
2024-06,77
2024-07,105
2024-08,263
2024-09,79
2024-10,126
2024-11,132
2024-12,129
2025-01,129
2025-02,130
2025-03,231
2025-04,188
2025-05,144
2025-06,159
2025-07,194
2025-08,173
2025-09,171
2025-10,211
2025-11,178
2025-12,108
2026-01,145
2026-02,200
2026-03,170
2026-04,127
2026-05,170
2026-06,163
2026-07,37
